Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Vehicle_Age_Property_Age,Claim_History,Premium_Amount,Claim_Amount,Risk_Score,Fraudulent_Claim
bdd640fb-0667-4ad1-9c80-317fa3b1799d,58,Male,Health,153479.09,7,1,1127.92,5124.76,Low,0
23b8c1e9-3924-46de-beb1-3b9046685257,65,Other,Health,126288.65,1,0,921.63,11633.04,Low,0
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,56,Male,Auto,148883.53,22,4,2387.84,22460.45,Medium,0
972a8469-1641-4f82-8b9d-2434e465e150,35,Male,Auto,145665.09,10,2,1199.66,47860.65,Medium,1
17fc695a-07a0-4a6e-8822-e8f36c031199,39,Male,Health,88386.91,11,2,3216.77,40356.41,High,1
9a1de644-815e-46d1-bb8f-aa1837f8a88b,64,Female,Health,195160.84,12,0,2984.18,41470.23,Low,0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,57,Female,Auto,146822.93,1,5,1525.54,14469.4,Medium,0
6b65a6a4-8b81-48f6-b38a-088ca65ed389,23,Male,Health,88422.72,14,5,4253.5,8132.7,High,0
47378190-96da-4dac-b2ff-5d2a386ecbe0,40,Male,Life,146327.66,21,5,821.31,31748.91,High,1
c241330b-01a9-471f-9e8a-774bcf36d58b,52,Other,Auto,49412.45,12,2,4952.86,31999.99,High,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,53,Male,Life,171713.35,24,0,1530.72,1605.01,Low,0
371ecd7b-27cd-4130-8722-9389571aa876,38,Female,Life,31913.95,29,4,4443.65,15733.89,High,0
1a2a73ed-562b-4f79-8374-59eef50bea63,59,Female,Property,179242.97,20,3,1142.92,6981.52,Low,0
5be6128e-18c2-4797-a142-ea7d17be3111,65,Other,Life,154462.49,13,4,2297.3,10966.04,Low,0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,26,Other,Property,36363.69,1,0,1187.79,7999.1,Low,0
759cde66-bacf-43d0-8b1f-9163ce9ff57f,61,Female,Health,89258.12,19,3,2881.01,48553.92,High,1
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,73,Male,Health,142707.87,17,2,3958.69,17008.77,Low,0
4b0dbb41-8d52-48f1-942c-3fe860e7a113,36,Female,Auto,101670.27,30,5,4441.34,13169.45,High,0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,50,Male,Health,176693.34,9,5,2784.48,9945.56,Medium,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,41,Male,Health,127810.03,15,0,1003.4,18149.04,Low,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,71,Female,Auto,30426.53,28,4,4761.27,4282.67,High,0
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,49,Male,Auto,43110.46,15,4,1243.07,26383.69,High,0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,56,Female,Auto,187204.43,24,5,3604.4,35647.45,High,1
7412b293-4729-4739-a14f-f3d719db3ad0,43,Other,Life,98858.02,16,3,1044.52,11234.87,Medium,0
29a3b2e9-5d65-4441-9588-42dea2bc372f,39,Male,Auto,125919.22,0,0,3685.28,2943.69,Low,0
ab9099a4-35a2-40ae-9af3-05535ec42e08,22,Male,Life,32754.32,7,2,3510.4,10711.84,Medium,0
aefcfad8-efc8-4849-b3aa-7efe4458a885,26,Other,Property,63739.5,15,3,1356.84,4846.54,Medium,0
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,45,Female,Property,93998.41,27,5,743.77,32672.77,High,1
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,59,Male,Health,92471.83,10,0,1618.95,9510.45,Low,0
451b4cf3-6123-4df7-b656-af7229d4beef,46,Male,Property,53027.85,14,1,4435.19,3769.24,Low,0
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,69,Other,Health,29105.9,17,0,4860.48,46318.35,High,1
5304317f-af42-412f-b838-b3268e944239,72,Male,Auto,93154.53,15,1,4390.93,45122.14,Medium,1
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,28,Female,Health,197355.59,8,3,1783.62,34829.58,Low,0
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,64,Other,Property,47863.43,9,1,4859.19,28959.01,Medium,0
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,52,Male,Life,30289.75,18,3,2762.83,42635.99,High,1
9132b63e-f162-47e4-a9c3-49e03602f8ac,28,Male,Health,173241.66,2,4,805.82,43090.96,Medium,1
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,43,Male,Auto,124205.43,1,4,868.93,32868.66,High,0
e27a984d-6548-41d0-bfcd-9eb1a7cad415,54,Other,Life,188247.13,6,5,3722.86,11934.3,Medium,0
24933b83-7577-40a9-a491-f0b2ea1fca65,43,Male,Life,102300.42,29,0,541.92,31057.96,Low,0
beb79919-3f22-4af8-a3be-d01d43cf2fde,54,Male,Health,116774.19,16,2,1096.05,17450.44,Low,0
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,22,Male,Life,71297.73,14,4,3665.93,30583.89,High,1
956269f0-e5d7-4875-adad-d6c795a76d79,69,Other,Health,140215.38,17,2,4692.9,5179.33,Low,0
ff50bde4-3825-47b8-9cab-cc97663f1c97,74,Male,Life,40777.16,3,5,2989.51,13617.41,High,0
7e570ddf-8270-40a8-a369-b584ff5e9ff0,56,Male,Life,56647.52,20,2,2774.34,12556.06,Medium,0
dc713d96-0c0f-4195-817a-f08a1745d6d8,76,Male,Health,134171.2,26,2,698.39,16677.83,Low,0
28f49481-a0a0-4dc4-a720-9bdf1c11f735,26,Other,Life,49084.76,14,4,3675.5,28045.34,High,0
98ae4334-6c12-4ce8-ae34-0454cac5b68c,25,Male,Auto,118206.25,26,2,3121.29,7404.69,Low,0
988c24c9-61b1-4d22-a280-1c4510435a10,26,Male,Life,85637.27,29,0,4545.16,10503.83,Low,0
405cacec-8774-49a9-b7d2-1e02ff01cf99,33,Other,Health,83662.15,17,3,4882.27,37473.88,High,1
f143262f-dc5c-4eed-8da0-365bf89897b9,77,Male,Auto,195717.09,25,1,4466.37,1239.32,Low,0
1d53434b-b881-49b9-ae27-0da702f06b90,65,Female,Property,164402.33,27,5,4148.37,13340.29,Medium,0
c0398710-8976-4334-a281-7efdae849217,68,Other,Health,88857.51,1,3,1500.95,40829.33,High,1
5715bd6f-a416-4293-84c2-e2e3444ea7c8,47,Female,Life,167696.55,27,1,1503.16,33001.66,Low,0
