,Policy_ID,Customer_Age,Annual_Income,Vehicle_Age_Property_Age,Claim_History,Premium_Amount,Claim_Amount,Fraudulent_Claim,Risk_Score_Encoded,Policy_Type_Auto,Policy_Type_Health,Policy_Type_Life,Policy_Type_Property,Gender_Female,Gender_Male,Gender_Other
0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,58,0.7414421119314882,7,1,0.1395449167845293,0.10207983022252415,0,0,0,1,0,0,0,1,0
1,23b8c1e9-3924-46de-beb1-3b9046685257,65,0.5902668503202317,1,0,0.09366966438057621,0.2325786197318995,0,0,0,1,0,0,0,0,1
2,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,56,0.7158914042103103,22,4,0.4197288714541136,0.44968112585052156,0,1,1,0,0,0,0,1,0
3,972a8469-1641-4f82-8b9d-2434e465e150,35,0.6979973021295741,10,2,0.15549862567715422,0.9589854817319581,1,1,1,0,0,0,0,1,0
4,17fc695a-07a0-4a6e-8822-e8f36c031199,39,0.379538172887214,11,2,0.6040682624823206,0.808516504338878,1,2,0,1,0,0,0,1,0
5,9a1de644-815e-46d1-bb8f-aa1837f8a88b,64,0.9731871466078299,12,0,0.5523443546019801,0.8308499260311427,0,0,0,1,0,0,1,0,0
6,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,57,0.7044347398799001,1,5,0.22796858182335722,0.2894510263605036,0,1,1,0,0,0,1,0,0
7,6b65a6a4-8b81-48f6-b38a-088ca65ed389,23,0.37973727176602207,14,5,0.8346187032441135,0.1623926208395275,0,2,0,1,0,0,0,1,0
8,47378190-96da-4dac-b2ff-5d2a386ecbe0,40,0.7016811039763177,21,5,0.07136026828205193,0.6359258458696744,1,2,0,0,1,0,0,1,0
9,c241330b-01a9-471f-9e8a-774bcf36d58b,52,0.16284531368164573,12,2,0.9901440148017682,0.6409602998375452,0,2,1,0,0,0,0,0,1
10,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,53,0.8428221935258894,24,0,0.22912052233163432,0.031504637640824555,0,0,0,0,1,0,0,1,0
11,371ecd7b-27cd-4130-8722-9389571aa876,38,0.06555596068461549,29,4,0.8769047047207321,0.31480556155977435,0,2,0,0,1,0,1,0,0
12,1a2a73ed-562b-4f79-8374-59eef50bea63,59,0.8846858880204745,20,3,0.1428806518471077,0.1393100865128847,0,0,0,0,0,1,1,0,0
13,5be6128e-18c2-4797-a142-ea7d17be3111,65,0.7469096862799911,13,4,0.3995943746163904,0.21920447286010644,0,0,0,0,1,0,0,0,1
14,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,26,0.09029592843070831,1,0,0.15285894733096717,0.15971378122622681,0,0,0,0,0,1,0,0,1
15,759cde66-bacf-43d0-8b1f-9163ce9ff57f,61,0.3843819856268512,19,3,0.529401168841566,0.9728863734887915,1,2,0,1,0,0,1,0,0
16,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,73,0.6815555488095821,17,2,0.7690581663241979,0.34036842867208555,0,0,0,1,0,0,0,1,0
17,4b0dbb41-8d52-48f1-942c-3fe860e7a113,36,0.45339190320847766,30,5,0.8763910015210952,0.2633854757968044,0,2,1,0,0,0,1,0,0
18,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,50,0.8705102813638,9,5,0.5079346018021864,0.19874262968210435,0,1,0,1,0,0,0,1,0
19,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,41,0.5987255225414291,15,0,0.11185386811837854,0.3632322044644386,0,0,0,1,0,0,0,1,0
20,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,71,0.0572861015861303,28,4,0.9475377827591422,0.08519491966889864,0,2,1,0,0,0,1,0,0
21,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,49,0.12780708013627012,15,4,0.16515224294825603,0.5283467749858939,0,2,1,0,0,0,0,1,0
22,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,56,0.9289505559812561,24,5,0.6902703279694714,0.7140962304957015,1,2,1,0,0,0,1,0,0
23,7412b293-4729-4739-a14f-f3d719db3ad0,43,0.4377561639756349,16,3,0.12099822983659343,0.22459483553408563,0,1,0,0,1,0,0,0,1
24,29a3b2e9-5d65-4441-9588-42dea2bc372f,39,0.5882128682258984,0,0,0.7082566114268941,0.05834677097565504,0,0,1,0,0,0,0,1,0
25,ab9099a4-35a2-40ae-9af3-05535ec42e08,22,0.07022830709019963,7,2,0.6693663882439801,0.21410745916473942,0,1,0,0,1,0,0,1,0
26,aefcfad8-efc8-4849-b3aa-7efe4458a885,26,0.2425018228027762,15,3,0.19045268148622557,0.0965011868302149,0,1,0,0,0,1,0,0,1
27,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,45,0.41073737306682,27,5,0.05411674183189673,0.654450342614764,1,2,0,0,0,1,1,0,0
28,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,59,0.40224978953119084,10,0,0.24874131596972038,0.19001815435169075,0,0,0,1,0,0,0,1,0
29,451b4cf3-6123-4df7-b656-af7229d4beef,46,0.18294646102715895,14,1,0.875023350145438,0.07490003476877162,0,0,0,0,0,1,0,1,0
30,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,69,0.04994357289804459,17,0,0.9696003344630355,0.9280605241302092,1,2,0,1,0,0,0,0,1
31,5304317f-af42-412f-b838-b3268e944239,72,0.4060455115239944,15,1,0.8651807078874568,0.90407508450576,1,1,1,0,0,0,0,1,0
32,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,28,0.9853896672518985,8,3,0.2853610154867059,0.6976969598779604,0,0,0,1,0,0,1,0,0
33,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,64,0.15423296670450715,9,1,0.9693134612476537,0.5799850177473124,0,1,0,0,0,1,0,0,1
34,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,52,0.05652562281921121,18,3,0.5031200241951983,0.8542248067766621,1,2,0,0,1,0,0,1,0
35,9132b63e-f162-47e4-a9c3-49e03602f8ac,28,0.8513193956334353,2,4,0.06791556587409601,0.863347498834023,1,1,0,1,0,0,0,1,0
36,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,43,0.5786844217720434,1,4,0.08195011519405081,0.6583781711465715,0,2,1,0,0,0,0,1,0
37,e27a984d-6548-41d0-bfcd-9eb1a7cad415,54,0.9347478305116448,6,5,0.7166137396703405,0.23861924265033482,0,1,0,0,1,0,0,0,1
38,24933b83-7577-40a9-a491-f0b2ea1fca65,43,0.4568954541294753,29,0,0.009228867006466857,0.6220714728845689,0,0,0,0,1,0,0,1,0
39,beb79919-3f22-4af8-a3be-d01d43cf2fde,54,0.537367707107035,16,2,0.13245759168823773,0.3492244398397989,0,0,0,1,0,0,0,1,0
40,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,22,0.28452458512541784,14,4,0.7039535131961678,0.6125658030082406,1,2,0,0,1,0,0,1,0
41,956269f0-e5d7-4875-adad-d6c795a76d79,69,0.6676976330195677,17,2,0.9323335023439097,0.10317402391786709,0,0,0,1,0,0,0,0,1
42,ff50bde4-3825-47b8-9cab-cc97663f1c97,74,0.11483423975863948,3,5,0.553529652460883,0.2723676089792458,0,2,0,0,1,0,0,1,0
43,7e570ddf-8270-40a8-a369-b584ff5e9ff0,56,0.20307134900971519,20,2,0.5056796448998835,0.2510862734734323,0,1,0,0,1,0,0,1,0
44,dc713d96-0c0f-4195-817a-f08a1745d6d8,76,0.634092789084511,26,2,0.044025031355909586,0.3337326862946475,0,0,0,1,0,0,0,1,0
45,28f49481-a0a0-4dc4-a720-9bdf1c11f735,26,0.16102340048430902,14,4,0.706081712166093,0.5616648426763211,0,2,0,0,1,0,0,0,1
46,98ae4334-6c12-4ce8-ae34-0454cac5b68c,25,0.5453297719041849,26,2,0.5828351968973217,0.1477951505784569,0,0,1,0,0,0,0,1,0
47,988c24c9-61b1-4d22-a280-1c4510435a10,26,0.36425053699986626,29,0,0.8994787358008878,0.20993661015304274,0,0,0,0,1,0,0,1,0
48,405cacec-8774-49a9-b7d2-1e02ff01cf99,33,0.35326913019976935,17,3,0.9744460455972745,0.7507183340504976,1,2,0,1,0,0,0,0,1
49,f143262f-dc5c-4eed-8da0-365bf89897b9,77,0.9762798232718066,25,1,0.881957231428851,0.024172116247202353,0,0,1,0,0,0,0,1,0
50,1d53434b-b881-49b9-ae27-0da702f06b90,65,0.802173886211071,27,5,0.8112396481021891,0.26681102190111794,0,1,0,0,0,1,1,0,0
51,c0398710-8976-4334-a281-7efdae849217,68,0.3821546468432903,1,3,0.2225002001441037,0.8179991153412893,1,2,0,1,0,0,0,0,1
52,5715bd6f-a416-4293-84c2-e2e3444ea7c8,47,0.8204893151009688,27,1,0.2229916651099903,0.6610449800430459,0,0,0,0,1,0,1,0,0
53,287d06ca-6f4c-469a-8b22-d3081c8eaee9,43,0.8643398840811968,30,2,0.3513062738505056,0.5100318132255274,0,0,0,0,1,0,1,0,0
54,b8db0672-f42d-47cc-80d4-af5974273ca3,61,0.9392822365881803,3,2,0.17860415054394713,0.9643205031085367,1,1,0,0,1,0,0,0,1
55,f8cda88b-436d-46e2-b83c-fe0be037e5ed,34,0.596350346863495,11,5,0.7869021250856172,0.4368331223279276,0,2,0,1,0,0,0,1,0
56,81f76d1c-2dbc-4134-830f-f46e8026695f,80,0.3848104290672576,18,1,0.25481235378361305,0.7099217722689571,0,1,0,1,0,0,0,0,1
57,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,18,0.3638201476056039,2,5,0.9213411434010266,0.6240727826286073,1,2,1,0,0,0,0,0,1
