,Claim_ID,Policyholder_ID,Claim_Amount,Claim_Type,Suspicious_Flags,Fraud_Label,Year,Month,Day,Month_name
0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,32151.63,Medical,False,0,2022,1,19,January
1,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,17fc695a-07a0-4a6e-8822-e8f36c031199,11548.93,Home Damage,True,0,2021,2,9,February
2,9a1de644-815e-46d1-bb8f-aa1837f8a88b,b38a088c-a65e-4389-b74d-0fb132e70629,29729.38,Medical,True,0,2020,10,22,October
3,72ff5d2a-386e-4be0-ab65-a6a48b8148f6,c241330b-01a9-471f-9e8a-774bcf36d58b,11322.58,Home Damage,True,0,2023,8,16,August
4,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,c37459ee-f50b-4a63-b71e-cd7b27cd8130,35942.97,Home Damage,False,0,2022,5,18,May
5,6142ea7d-17be-4111-9a2a-73ed562b0f79,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,22735.85,Vehicle,True,0,2021,2,27,February
6,759cde66-bacf-43d0-8b1f-9163ce9ff57f,142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,35057.9,Vehicle,False,0,2023,5,11,May
7,a0ee89ae-d453-4d32-8b0d-bb418d5288f1,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,11158.03,Vehicle,True,0,2023,10,9,October
8,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,daf61a26-146d-4f31-bc37-7a4c4a15544d,19306.4,Vehicle,False,1,2021,10,25,October
9,614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,29a3b2e9-5d65-4441-9588-42dea2bc372f,40452.85,Home Damage,False,0,2022,1,24,January
10,ab9099a4-35a2-40ae-9af3-05535ec42e08,12476f57-a5e5-45ab-aefc-fad8efc89849,48669.23,Vehicle,True,1,2022,1,4,January
11,88bd6407-2bcf-4e01-a28d-efe39bf00273,451b4cf3-6123-4df7-b656-af7229d4beef,41555.53,Home Damage,False,0,2024,4,28,April
12,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,c4b032cc-d7c5-44a5-9304-317faf42e12f,35376.31,Medical,True,1,2023,6,18,June
13,d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,49268.47,Medical,True,1,2020,11,1,November
14,9132b63e-f162-47e4-a9c3-49e03602f8ac,7fcd9eb1-a7ca-4415-b66e-b16f508ebad7,14259.69,Home Damage,False,0,2025,1,22,January
15,a491f0b2-ea1f-4a65-a27a-984d654821d0,beb79919-3f22-4af8-a3be-d01d43cf2fde,18823.96,Medical,False,0,2022,12,21,December
16,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,5cabcc97-663f-4c97-9562-69f0e5d7b875,30651.98,Medical,True,0,2023,8,8,August
17,2369b584-ff5e-4ff0-bf50-bde4382567b8,dc713d96-0c0f-4195-817a-f08a1745d6d8,23381.88,Vehicle,True,1,2023,3,23,March
18,28f49481-a0a0-4dc4-a720-9bdf1c11f735,62801c45-1043-4a10-98ae-43346c12ace8,42221.17,Medical,True,0,2024,8,21,August
