,Unnamed: 0,Claim_ID,Claim_Date,Policyholder_ID,Claim_Amount,Suspicious_Flags,Fraud_Label,Claim_Type_Home Damage,Claim_Type_Medical,Claim_Type_Vehicle,Claim_Year,Claim_Month,Claim_Day,Annual_Income,Claim_to_Income_Ratio,Policy_Issuance_Date,Days_Since_Issuance,Short_Period_Claim,Elliptic_Anomaly,Isolation_Anomaly,LOF_Anomaly,Fraud_Probability_Score,policy_issue_Year,policy_issue_Month,policy_issue_Day
0,0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2021-07-19,1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,32151.63,0,0,0,1,0,2021,7,19,91212,0.3524934219181687,2021-06-02,47,True,Normal,0,Normal,0.0,2021,6,2
1,1,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,2020-08-09,17fc695a-07a0-4a6e-8822-e8f36c031199,7407.13,0,0,0,1,0,2020,8,9,188761,0.0392407859674403,2019-01-22,565,False,Normal,0,Normal,0.0,2019,1,22
2,2,9a1de644-815e-46d1-bb8f-aa1837f8a88b,2020-04-21,b38a088c-a65e-4389-b74d-0fb132e70629,4803.47,1,0,0,0,1,2020,4,21,130866,0.036705255757798,2018-07-19,642,False,Normal,0,Normal,0.0,2018,7,19
3,3,72ff5d2a-386e-4be0-ab65-a6a48b8148f6,2023-02-13,c241330b-01a9-471f-9e8a-774bcf36d58b,12016.71,1,0,1,0,0,2023,2,13,78103,0.1538572141915163,2021-01-16,758,False,Normal,0,Normal,0.0,2021,1,16
4,4,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,2021-11-15,c37459ee-f50b-4a63-b71e-cd7b27cd8130,32669.28,0,0,1,0,0,2021,11,15,176732,0.1848520924337414,2019-09-01,806,False,Normal,0,Normal,0.0,2019,9,1
5,5,6142ea7d-17be-4111-9a2a-73ed562b0f79,2020-08-27,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,14270.44,0,0,0,1,0,2020,8,27,122406,0.11658284724605,2019-12-20,251,True,Normal,0,Normal,0.0,2019,12,20
6,6,759cde66-bacf-43d0-8b1f-9163ce9ff57f,2022-11-08,142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,21419.41,1,0,0,0,1,2022,11,8,140016,0.1529783024797166,2021-10-28,376,False,Normal,0,Normal,0.0,2021,10,28
7,7,a0ee89ae-d453-4d32-8b0d-bb418d5288f1,2023-04-08,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,17161.43,0,0,0,1,0,2023,4,8,64510,0.2660274376065726,2020-11-21,868,False,Normal,0,Normal,0.0,2020,11,21
8,8,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2021-04-24,daf61a26-146d-4f31-bc37-7a4c4a15544d,17525.81,0,0,0,0,1,2021,4,24,140553,0.1246918244363336,2019-01-17,828,False,Normal,0,Normal,0.0,2019,1,17
9,9,614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,2021-07-24,29a3b2e9-5d65-4441-9588-42dea2bc372f,27043.29,1,0,0,0,1,2021,7,24,45520,0.5940968804920914,2020-09-09,318,True,Anomaly,0,Normal,0.0,2020,9,9
10,10,ab9099a4-35a2-40ae-9af3-05535ec42e08,2021-07-04,12476f57-a5e5-45ab-aefc-fad8efc89849,31617.67,0,0,0,0,1,2021,7,4,39675,0.7969166981726528,2021-03-15,111,True,Anomaly,1,Anomaly,0.1256989032741607,2021,3,15
11,11,88bd6407-2bcf-4e01-a28d-efe39bf00273,2023-10-27,451b4cf3-6123-4df7-b656-af7229d4beef,2768.31,0,0,0,1,0,2023,10,27,171004,0.0161885686884517,2023-06-23,126,True,Normal,0,Normal,0.0,2023,6,23
12,12,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2022-12-16,c4b032cc-d7c5-44a5-9304-317faf42e12f,42838.23,0,0,0,1,0,2022,12,16,121334,0.3530603952725534,2021-12-19,362,True,Normal,0,Normal,0.0,2021,12,19
13,13,d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,2020-05-01,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,41788.47,0,0,0,1,0,2020,5,1,185108,0.2257518313633122,2017-10-31,913,False,Normal,1,Anomaly,0.0,2017,10,31
14,14,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-07-22,7fcd9eb1-a7ca-4415-b66e-b16f508ebad7,13715.4,0,0,1,0,0,2024,7,22,92352,0.1485122141372141,2022-02-16,887,False,Normal,0,Normal,0.0,2022,2,16
15,15,a491f0b2-ea1f-4a65-a27a-984d654821d0,2022-06-20,beb79919-3f22-4af8-a3be-d01d43cf2fde,8971.36,1,0,1,0,0,2022,6,20,34903,0.2570369309228433,2019-12-06,927,False,Normal,0,Normal,0.0,2019,12,6
16,16,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,2023-02-05,5cabcc97-663f-4c97-9562-69f0e5d7b875,13862.42,0,0,1,0,0,2023,2,5,59907,0.2313990017861018,2022-06-16,234,True,Normal,0,Normal,0.0,2022,6,16
17,17,2369b584-ff5e-4ff0-bf50-bde4382567b8,2022-09-20,dc713d96-0c0f-4195-817a-f08a1745d6d8,16552.0,1,1,0,1,0,2022,9,20,39518,0.4188471076471481,2020-10-04,716,False,Anomaly,0,Anomaly,0.0,2020,10,4
18,18,28f49481-a0a0-4dc4-a720-9bdf1c11f735,2024-02-19,62801c45-1043-4a10-98ae-43346c12ace8,16114.93,1,0,0,0,1,2024,2,19,136004,0.1184886473927237,2022-05-25,635,False,Normal,0,Normal,0.0,2022,5,25
19,19,77d21e02-ff01-4f99-988c-24c961b1cd22,2022-10-26,f143262f-dc5c-4eed-8da0-365bf89897b9,28575.41,0,0,1,0,0,2022,10,26,131766,0.2168648209705083,2021-09-09,412,False,Normal,0,Normal,0.0,2021,9,9
20,20,1d53434b-b881-49b9-ae27-0da702f06b90,2023-08-01,c4c2e2e3-444e-47c8-8039-87108976e334,20083.78,0,0,1,0,0,2023,8,1,162003,0.1239716548458979,2021-08-14,717,False,Normal,0,Normal,0.0,2021,8,14
21,21,4b22d308-1c8e-4ee9-9715-bd6fa4161293,2022-05-07,b8db0672-f42d-47cc-80d4-af5974273ca3,12708.06,0,0,1,0,0,2022,5,7,136015,0.0934313127228614,2020-07-11,665,False,Normal,0,Normal,0.0,2020,7,11
22,22,f8cda88b-436d-46e2-b83c-fe0be037e5ed,2022-09-04,1b3dbd5c-e9a1-4a6f-81f7-6d1c2dbc2134,21707.47,0,0,1,0,0,2022,9,4,101418,0.2140396182137293,2021-11-04,304,True,Normal,0,Normal,0.0,2021,11,4
23,23,d777a477-4c66-40a8-a013-ac6ededa4e16,2023-05-15,5fb8d16c-2720-497d-b2eb-d6899be578c7,49878.11,0,0,1,0,0,2023,5,15,68676,0.7262815248412837,2020-12-01,895,False,Anomaly,1,Anomaly,0.7947248482215078,2020,12,1
24,24,f4188f3f-8a14-4e62-a95b-4715c333e861,2024-01-25,99546eb4-0025-4ad1-ab22-63dd87c5421e,43124.59,0,0,0,1,0,2024,1,25,99154,0.4349253686185126,2023-07-11,198,True,Normal,1,Normal,0.0,2023,7,11
25,25,1ca35cfb-04fc-4d82-bd15-438552fbe43b,2024-10-26,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,21396.92,0,0,0,1,0,2024,10,26,92869,0.2303989490572742,2022-11-25,701,False,Normal,0,Normal,0.0073227681364596,2022,11,25
26,26,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2024-07-25,bb5e4bcf-15ed-4269-9429-6c07f26b4776,23668.47,0,0,0,0,1,2024,7,25,108528,0.2180863003095975,2024-02-01,175,True,Normal,0,Normal,0.0,2024,2,1
27,27,fa5d3100-11b7-4948-90e6-e6607c69dee1,2023-12-23,a8e56e0c-20de-435d-a031-d750c40db9b4,1068.31,1,0,1,0,0,2023,12,23,68599,0.0155732590854094,2021-12-23,730,False,Normal,1,Normal,0.0,2021,12,23
28,28,2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,2021-07-01,f6e07cc0-6c52-449f-9b49-bd26df57c59a,37668.45,0,0,1,0,0,2021,7,1,178679,0.210816324246274,2018-12-12,932,False,Normal,0,Normal,0.0,2018,12,12
29,29,c1590f53-8a0f-4efb-adcd-465e36386821,2023-10-28,66245bfa-4fcc-439a-b683-d2e6337ea2df,8328.81,0,0,0,1,0,2023,10,28,73659,0.1130725369608601,2022-09-13,410,False,Normal,0,Normal,0.0,2022,9,13
30,30,5f987c71-a65e-488e-abf3-ad39fec21bbe,2022-05-13,3f76be1d-1efa-4197-b394-988f847fd9b4,13537.76,0,0,1,0,0,2022,5,13,114092,0.1186565228061564,2020-04-15,758,False,Normal,0,Normal,0.005789003180799,2020,4,15
31,31,05628059-568c-469b-9064-005c3985c3cf,2023-02-11,01d74256-3860-4ab6-96a4-02f23ae8cc93,5767.34,1,0,1,0,0,2023,2,11,55317,0.1042598116311441,2021-11-07,461,False,Normal,0,Normal,0.0,2021,11,7
32,32,0f1259e0-a18f-46b6-b535-106e122c9a56,2021-04-26,5496f63c-dc11-40c1-880a-adfbe7c99b26,30644.03,0,0,0,1,0,2021,4,26,194953,0.1571867578339394,2019-11-02,541,False,Normal,0,Normal,0.0,2019,11,2
33,33,474a493b-3ced-4f2d-839f-bc501223b513,2023-07-09,b92da22b-21df-406f-8a0b-3c3336d8393a,47698.24,0,0,1,0,0,2023,7,9,90436,0.527425361581671,2022-04-03,462,False,Anomaly,0,Normal,0.0,2022,4,3
34,34,93829b43-922f-415a-a1e3-db63ef7ddc76,2022-07-15,683514f2-ceb8-4f9d-b914-c120c8dcd19f,24685.98,0,0,0,1,0,2022,7,15,137119,0.1800332557851209,2020-08-23,691,False,Normal,0,Normal,0.0,2020,8,23
35,35,a8b317fa-18d0-452b-9825-bc5430beb45f,2022-04-30,dd2467ac-778e-4db3-a93d-ffbc6c6fa611,41667.44,1,1,0,0,1,2022,4,30,38012,1.0961654214458592,2021-03-02,424,False,Anomaly,1,Anomaly,0.0,2021,3,2
36,36,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,2025-02-04,ba6c34ab-6712-403a-8f84-4fef1931e9ee,12423.14,0,0,1,0,0,2025,2,4,80918,0.153527521688623,2022-06-11,969,False,Normal,1,Anomaly,0.0,2022,6,11
37,37,1bf90e27-dc96-425e-8cf3-a17156dc8907,2021-06-01,23e2fcb4-72d8-467d-894a-05e430b187ef,24556.53,0,0,0,1,0,2021,6,1,127192,0.1930666236870243,2019-09-04,636,False,Normal,0,Normal,0.0,2019,9,4
38,38,766ecb15-474e-4c19-aef9-12766c006f61,2021-06-03,ceda8bbb-7171-4434-934c-6c92ec5b227c,6725.15,0,0,1,0,0,2021,6,3,82340,0.0816753704153509,2019-08-31,642,False,Normal,0,Normal,0.0,2019,8,31
39,39,19108be5-8ce2-4ea3-9b20-a56edc815fe7,2020-06-04,03c72ba8-d605-4770-8a63-f881ffd0f9d5,13620.3,0,0,1,0,0,2020,6,4,48904,0.2785109602486504,2020-02-10,115,True,Anomaly,0,Anomaly,0.030015903812426,2020,2,10
40,40,c0e9ab30-ed26-42e9-97e0-11b7f8102383,2024-06-01,7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,27195.16,0,0,1,0,0,2024,6,1,153236,0.1774723955206348,2023-04-06,422,False,Normal,0,Normal,0.0,2023,4,6
41,41,e7067ef4-66aa-4385-9d59-ba7136b82481,2020-06-19,63f2ae24-fc3d-4348-808d-4127610461e3,20250.12,0,0,1,0,0,2020,6,19,67238,0.3011707665308307,2017-09-29,994,False,Normal,0,Normal,0.0,2017,9,29
42,42,c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,2022-06-13,bb026576-f512-44c3-b253-d2186c4a37ea,26120.0,1,0,0,1,0,2022,6,13,197381,0.1323328993165502,2021-06-21,357,True,Normal,0,Normal,0.0,2021,6,21
43,43,a97065e1-8e46-4534-888a-618efed4057d,2023-10-07,37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,1541.2,1,0,1,0,0,2023,10,7,35263,0.0437058673397045,2022-04-01,554,False,Normal,0,Normal,0.0,2022,4,1
44,44,bc594585-9445-48c0-8ef8-c2d6f7fd5646,2022-11-19,0cd620c2-0ea2-422b-9048-67babf7b539b,4014.16,1,0,1,0,0,2022,11,19,82124,0.048879255759583,2021-11-12,372,False,Normal,0,Normal,0.0234773844514707,2021,11,12
45,45,eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,2024-06-08,82010c62-f5f5-4b22-8e8f-a8e0284d82e5,2054.94,1,0,0,0,1,2024,6,8,70617,0.0290997918348273,2021-11-10,941,False,Normal,1,Anomaly,0.0,2021,11,10
