,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Claim_ID,Claim_Date,Policyholder_ID,Claim_Amount,Suspicious_Flags,Fraud_Label,Claim_Type_Home Damage,Claim_Type_Medical,Claim_Type_Vehicle,Claim_Year,Claim_Month,Claim_Day,Annual_Income,Policy_Issuance_Date,Days_Since_Issuance,Short_Period_Claim,Elliptic_Anomaly,Isolation_Anomaly,LOF_Anomaly,Fraud_Probability_Score,policy_issue_Year,policy_issue_Month,policy_issue_Day,Claim_to_Income_Ratio
0,0,0,0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2021-07-19,1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,0.6394747371145715,0,0,0,1,0,2021,7,19,0.3594004484834179,2021-06-02,47,1,Normal,0,Normal,0.0,2021,6,2,1.779281967546225
1,1,1,1,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,2020-08-09,17fc695a-07a0-4a6e-8822-e8f36c031199,0.1386977024504672,0,0,0,1,0,2020,8,9,0.9350466186710729,2019-01-22,565,0,Normal,0,Normal,0.0,2019,1,22,0.14833239293201245
2,2,2,2,9a1de644-815e-46d1-bb8f-aa1837f8a88b,2020-04-21,b38a088c-a65e-4389-b74d-0fb132e70629,0.08600505826393921,0,0,0,0,1,2020,4,21,0.5934025728785555,2018-07-19,642,0,Normal,0,Normal,0.0,2018,7,19,0.1449354320233809
3,3,3,3,72ff5d2a-386e-4be0-ab65-a6a48b8148f6,2023-02-13,c241330b-01a9-471f-9e8a-774bcf36d58b,0.2319859807930064,0,0,1,0,0,2023,2,13,0.28204295999055823,2021-01-16,758,0,Normal,0,Normal,0.0,2021,1,16,0.8225200189388611
4,4,4,4,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,2021-11-15,c37459ee-f50b-4a63-b71e-cd7b27cd8130,0.6499508927044549,0,0,1,0,0,2021,11,15,0.8640623155906999,2019-09-01,806,0,Normal,0,Normal,0.0,2019,9,1,0.752203725329843
5,5,5,5,6142ea7d-17be-4111-9a2a-73ed562b0f79,2020-08-27,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,0.27759677213385114,0,0,0,1,0,2020,8,27,0.5434792871474095,2019-12-20,251,1,Normal,0,Normal,0.0,2019,12,20,0.5107770961997266
6,6,6,6,759cde66-bacf-43d0-8b1f-9163ce9ff57f,2022-11-08,142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,0.4222770040036663,0,0,0,0,1,2022,11,8,0.647397615956568,2021-10-28,376,0,Normal,0,Normal,0.0,2021,10,28,0.6522683951804908
7,7,7,7,a0ee89ae-d453-4d32-8b0d-bb418d5288f1,2023-04-08,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,0.3361043758212798,0,0,0,1,0,2023,4,8,0.20182934025728788,2020-11-21,868,0,Normal,0,Normal,0.0,2020,11,21,1.665289969202797
8,8,8,8,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2021-04-24,daf61a26-146d-4f31-bc37-7a4c4a15544d,0.3434786665077316,0,0,0,0,1,2021,4,24,0.6505665053699988,2019-01-17,828,0,Normal,0,Normal,0.0,2019,1,17,0.5279685684285019
9,9,9,9,614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,2021-07-24,29a3b2e9-5d65-4441-9588-42dea2bc372f,0.5360925973559977,1,0,0,0,1,2021,7,24,0.08976749675439633,2020-09-09,318,1,Anomaly,0,Normal,0.0,2020,9,9,5.972012328947367
